,Temperature [K],material,zt
0,305.76461317387475,MnSi,0.1450980392156862
1,363.9447457469986,MnSi,0.1960784313725488
2,307.2053029249525,BaAuGe,0.19215686274509824
3,356.88221387845914,BaAuGe,0.2588235294117647
4,406.56283317109353,BaAuGe,0.3333333333333335
5,301.63537755527744,DD-FeCoSbSn,0.4117647058823528
6,335.71315996847915,DD-FeCoSbSn,0.4862745098039216
7,389.6676401056876,DD-FeCoSbSn,0.6000000000000001
8,300.1131043433922,PbTeNaSr,0.19215686274509824
9,324.24882955546286,PbTeNaSr,0.23921568627450984
10,372.5518008621889,PbTeNaSr,0.3999999999999999
11,300.1131043433922,PbTeNaSr,0.19215686274509824
12,324.24882955546286,PbTeNaSr,0.23921568627450984
13,372.5518008621889,PbTeNaSr,0.3999999999999999
14,292.933759792333,TT-FTCNQ,0.007843137254901933
15,292.933759792333,TT-FTCNQ,0.007843137254901933
16,293.1265934269689,PEDOT:TOS,0.4156862745098042
17,293.1265934269689,PEDOT:TOS,0.4156862745098042
18,298.65016455754875,PEDOT:PSS Te Nanorods,0.0980392156862746
19,298.65016455754875,PEDOT:PSS Te Nanorods,0.0980392156862746
20,304.75779910072777,PEDOT:PSS PANI Graphene CNTs,1.015686274509804
21,304.75779910072777,PEDOT:PSS PANI Graphene CNTs,1.015686274509804
22,302.00991980716634,SiNWs,1.203921568627451
23,300.57850090390764,BiSbTe,1.1764705882352933
24,324.74760116812683,BiSbTe,1.2941176470588234
25,346.06128030408377,BiSbTe,1.3725490196078431
26,374.46344968247354,BiSbTe,1.4431372549019603
