p3ht_load,sigma,Seebeck,power factor,thickness
0,53.002601940399586,59.37098084257349,18.682958002358166,190
0,53.828895246723896,42.256929311799475,9.611946316928327,190
0,52.59556829140005,42.57174958285856,9.53217813457007,190
0,54.4617298472836,70.69846309436062,27.221457661387333,190
5,12.853645037429658,24.98611210065537,0.802460512109966,190
5,15.523922473364445,52.636775455869824,4.301104734656775,190
5,14.896212255200526,32.91772447126985,1.6141186795487659,190
5,14.597935307547745,78.55234519556943,9.007613553680109,190
10,40.40917664261045,85.19791111907045,29.33174463351745,190
10,40.03489940105312,72.81134998139068,21.224472636393525,190
10,38.811143969438135,89.22290015955446,30.896487950609323,190
10,40.33546752103698,70.73030377880629,20.178930372598767,190
15,47.15595749765012,100.73658069513652,47.85319930847669,190
15,47.32268278458711,44.328326656080264,9.29890974213178,190
15,47.60738224056393,62.63390260273931,18.6764034522092,190
15,49.806191197948074,73.45324191891125,26.872326552806157,190
30,23.55007487241827,101.83830391856918,24.42387719198615,190
30,26.202142052062648,102.0356675765645,27.27977708925869,190
30,26.27119839015638,97.89742239035122,25.178067776921207,190
30,24.776445379367644,86.68539055085527,18.617905415996788,190
50,7.7024814776058115,103.7135671022618,8.285177283207577,190
50,6.513038401744281,122.59350673544101,9.788554763788225,190
50,7.222337553082989,106.30368135434418,8.16158281284163,190
50,6.626737396399863,69.80066368968838,3.228634364205491,190
70,4.974217607716331,134.8122689387201,9.04031611160953,190
70,5.2887378490284,121.93930412081328,7.863926850777222,190
70,5.737769272702733,107.23163906726091,6.597645385850643,190
70,4.863903230180583,124.31101221572975,7.5163004409335485,190
100,0.1262397917233809,137.3208507600452,0.238050577911357,190
100,0.13409286037344884,117.63505491587885,0.18555778258567035,190
100,0.16429026821696235,128.61905633804534,0.27178311780949976,190
100,0.15243397201265724,148.33691901862193,0.33541329660794683,190
0,42.54088418220768,42.05758249761799,7.524802802251268,100
0,41.32896938151845,48.75483100495451,9.824034665477066,100
0,40.68641480379317,43.32064173061117,7.63552995591988,100
0,41.39992764115929,29.88476170956255,3.69742332492987,100
5,13.343086204362296,72.28857867416178,6.972614640244845,100
5,12.12936685296033,71.87616772242377,6.2662534737003135,100
5,14.01483675156276,67.00222783438711,6.291678609384713,100
5,12.905095205958226,79.31413597424466,8.118249750890898,100
10,51.9741647908067,88.08408791346326,40.32574898742868,100
10,50.85070687659706,80.05812663993494,32.59176207364718,100
10,50.500550379334506,106.99562002047527,57.813346730721165,100
10,52.708692893297105,106.13575042927931,59.37527529439639,100
15,58.073821374948785,88.5874797826556,45.57483423793135,100
15,59.332582558094664,75.05667682978618,33.42503848835072,100
15,56.87772755568538,91.04688278646522,47.14899056223522,100
15,58.179042907700186,104.0515787640563,62.98888499178505,100
30,23.64875357447877,107.96398543089622,27.56551252376345,100
30,20.98183602893702,103.09331122784859,22.29997963412994,100
30,20.078765281299628,107.97127352690991,23.407414771440628,100
30,20.998219326074413,95.50288788087829,19.152059229176167,100
50,7.093826447020402,111.5871506077184,8.833014330195887,100
50,5.9299866384926165,112.9132888006189,7.56038356201414,100
50,6.168532922950719,128.48452879056197,10.183183252463516,100
50,6.760441274610354,108.48047584056756,7.955696512254173,100
70,3.3107911743796126,111.67946943460895,4.129319365377299,100
70,3.3699016248719373,93.1692990255476,2.9252492659575586,100
70,3.3047692546064322,92.4584938092144,2.8251061477174315,100
70,3.4115714307663807,118.03969307736004,4.753468409847776,100
100,0.16238788102082777,135.88491132778893,0.29984449887281894,100
100,0.1912650484478962,131.89920142246967,0.3327514426845486,100
100,0.16112102996198086,140.14135858685748,0.31643526423259033,100
100,0.18811042146358817,141.31014218243598,0.3756293538531192,100
0,86.87657199310013,44.05073531776388,16.858114552802896,40
0,88.09943602891511,57.39002584097439,29.01656298133791,40
0,88.94365181758445,47.064035631083726,19.701227449426,40
0,89.07789509285001,48.167479311642644,20.667016450535726,40
5,15.096053458200062,91.04258980228694,12.512746077359594,40
5,18.918786526365473,105.2581695208097,20.96065757695881,40
5,16.264058017789086,103.87656909085868,17.54947419131777,40
5,15.954672989582717,94.774978008946,14.33096026604799,40
10,52.599225664631206,103.42584215843713,56.26489108654271,40
10,54.398340402167854,109.69479452517078,65.45723984036921,40
10,52.49277822808554,89.13654636760057,41.70721253460485,40
10,53.824681388744374,106.29042088769086,60.80926039792785,40
15,104.44912525961165,97.28099076962646,98.84638190113886,40
15,105.07537893344715,103.27642457727924,112.07360799161653,40
15,103.40316102772945,99.92037710180591,103.2385613960575,40
15,103.49682703813384,78.16292297458116,63.23079166126223,40
30,31.394354057981698,116.88770127955046,42.89327308991205,40
30,32.99607536066284,105.42564010437007,36.67370438553979,40
30,34.0120513588132,118.09987951942963,47.43858597548741,40
30,32.0299953725865,109.04225659928579,38.0843490567256,40
50,2.492053473638337,134.22330976887216,4.48965784137484,40
50,2.4841829692592605,123.26426261002509,3.7744870886271102,40
50,2.4839963179861493,152.1495636894479,5.750324725478735,40
50,2.522745332580371,145.30749255914338,5.326591951862722,40
70,3.6655150384564488,156.1085893047838,8.93282043459659,40
70,3.678511816731331,133.16711259054696,6.523281527454226,40
70,3.6543439834203952,139.8195002435392,7.144057083843027,40
70,3.7232192503452755,157.00412511055117,9.177845399409536,40
100,0.19225526431691203,131.0429823046493,0.3301458002607419,40
100,0.24316675568312007,148.61219844122604,0.5370480179606264,40
100,0.22914038471627018,140.2712417291101,0.4508571080337236,40
100,0.10897044654842002,139.9114384032253,0.21331194399319678,40
